wardcode,wardname,lganame,statename,year,month,ACLED_BRD_state,ACLED_BRD_nonstate,ACLED_BRD_total
10101,Arege,Abadam,Borno,2016,6,15.0,0.0,15.0
10101,Arege,Abadam,Borno,2016,7,26.0,0.0,26.0
10101,Arege,Abadam,Borno,2016,8,16.0,0.0,16.0
10101,Arege,Abadam,Borno,2016,11,14.0,0.0,14.0
10101,Arege,Abadam,Borno,2016,12,8.0,0.0,8.0
10101,Arege,Abadam,Borno,2017,1,49.0,0.0,49.0
10101,Arege,Abadam,Borno,2017,6,4.0,0.0,4.0
10101,Arege,Abadam,Borno,2017,7,2.0,0.0,2.0
10101,Arege,Abadam,Borno,2017,12,11.0,0.0,11.0
10101,Arege,Abadam,Borno,2018,1,83.0,0.0,83.0
10101,Arege,Abadam,Borno,2018,4,50.0,3.0,53.0
10101,Arege,Abadam,Borno,2018,7,15.0,0.0,15.0
10101,Arege,Abadam,Borno,2018,8,10.0,0.0,10.0
10101,Arege,Abadam,Borno,2018,10,134.0,0.0,134.0
10101,Arege,Abadam,Borno,2018,11,62.0,0.0,62.0
10101,Arege,Abadam,Borno,2019,2,10.0,0.0,10.0
10101,Arege,Abadam,Borno,2019,3,11.0,0.0,11.0
10101,Arege,Abadam,Borno,2019,4,6.0,0.0,6.0
10101,Arege,Abadam,Borno,2019,6,7.0,9.0,16.0
10101,Arege,Abadam,Borno,2019,12,0.0,15.0,15.0
10101,Arege,Abadam,Borno,2021,3,14.0,0.0,14.0
10101,Arege,Abadam,Borno,2021,4,5.0,0.0,5.0
10101,Arege,Abadam,Borno,2021,10,0.0,17.0,17.0
10101,Arege,Abadam,Borno,2021,12,0.0,6.0,6.0
10101,Arege,Abadam,Borno,2022,4,5.0,41.0,46.0
10101,Arege,Abadam,Borno,2022,5,0.0,4.0,4.0
10101,Arege,Abadam,Borno,2022,6,0.0,3.0,3.0
10101,Arege,Abadam,Borno,2022,10,3.0,0.0,3.0
10101,Arege,Abadam,Borno,2023,1,0.0,38.0,38.0
10101,Arege,Abadam,Borno,2023,2,0.0,3.0,3.0
10101,Arege,Abadam,Borno,2023,5,13.0,57.0,70.0
10101,Arege,Abadam,Borno,2023,6,6.0,0.0,6.0
10101,Arege,Abadam,Borno,2024,1,0.0,20.0,20.0
10101,Arege,Abadam,Borno,2024,4,0.0,20.0,20.0
10101,Arege,Abadam,Borno,2024,8,0.0,100.0,100.0
10101,Arege,Abadam,Borno,2024,12,10.0,15.0,25.0
10101,Arege,Abadam,Borno,2025,2,0.0,31.0,31.0
10101,Arege,Abadam,Borno,2025,3,0.0,20.0,20.0
10102,Banowa,Abadam,Borno,2018,6,20.0,0.0,20.0
10102,Banowa,Abadam,Borno,2019,12,10.0,0.0,10.0
10102,Banowa,Abadam,Borno,2020,3,3.0,0.0,3.0
10102,Banowa,Abadam,Borno,2020,4,3.0,0.0,3.0
10102,Banowa,Abadam,Borno,2020,7,3.0,0.0,3.0
10102,Banowa,Abadam,Borno,2022,2,1.0,0.0,1.0
10102,Banowa,Abadam,Borno,2024,1,12.0,0.0,12.0
10102,Banowa,Abadam,Borno,2024,5,3.0,0.0,3.0
10102,Banowa,Abadam,Borno,2024,11,10.0,0.0,10.0
10105,Jabullam,Abadam,Borno,2016,3,5.0,0.0,5.0
10105,Jabullam,Abadam,Borno,2020,5,0.0,25.0,25.0
10105,Jabullam,Abadam,Borno,2022,11,15.0,0.0,15.0
10106,Kessaa,Abadam,Borno,2013,8,18.0,0.0,18.0
10106,Kessaa,Abadam,Borno,2014,11,21.0,0.0,21.0
