wardname,wardcode,lganame,statename,year_month,event_count,total_fatalities,event_type_breakdown
Aba Town Hall,ABSABA02,Aba South,Abia,1998-11,1,5,{'Riots': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2000-02,3,500,"{'Battles': 2, 'Riots': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2000-05,1,2,{'Battles': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2002-11,1,0,{'Riots': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2005-04,1,0,{'Violence against civilians': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2005-07,1,0,{'Protests': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2008-11,1,3,{'Battles': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2009-06,2,0,"{'Battles': 1, 'Protests': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2009-09,1,10,{'Battles': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2010-03,2,2,"{'Violence against civilians': 1, 'Battles': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2010-07,1,0,{'Violence against civilians': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2010-12,3,3,"{'Violence against civilians': 2, 'Battles': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2013-08,1,0,{'Protests': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2013-12,1,2,{'Battles': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2014-06,1,0,{'Strategic developments': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2014-11,1,0,{'Violence against civilians': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2015-03,2,0,"{'Protests': 1, 'Strategic developments': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2015-04,1,1,{'Riots': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2015-05,1,0,{'Violence against civilians': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2015-06,2,0,{'Protests': 2}
Aba Town Hall,ABSABA02,Aba South,Abia,2015-11,3,0,{'Protests': 3}
Aba Town Hall,ABSABA02,Aba South,Abia,2015-12,1,0,{'Protests': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2016-01,5,8,{'Protests': 5}
Aba Town Hall,ABSABA02,Aba South,Abia,2016-02,1,6,{'Protests': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2016-05,5,5,"{'Protests': 3, 'Battles': 1, 'Violence against civilians': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2016-07,1,0,{'Riots': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2016-08,2,0,{'Riots': 2}
Aba Town Hall,ABSABA02,Aba South,Abia,2016-09,2,0,{'Protests': 2}
Aba Town Hall,ABSABA02,Aba South,Abia,2016-10,1,0,{'Protests': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2016-12,1,0,{'Riots': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2017-03,2,1,{'Violence against civilians': 2}
Aba Town Hall,ABSABA02,Aba South,Abia,2017-04,1,0,{'Protests': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2017-09,4,58,"{'Violence against civilians': 2, 'Riots': 2}"
Aba Town Hall,ABSABA02,Aba South,Abia,2017-10,1,6,{'Violence against civilians': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2018-02,1,0,{'Violence against civilians': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2018-03,1,0,{'Riots': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2018-04,2,0,{'Protests': 2}
Aba Town Hall,ABSABA02,Aba South,Abia,2018-05,3,1,"{'Protests': 2, 'Explosions/Remote violence': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2018-08,1,0,{'Strategic developments': 1}
